timeframe,symbol,source_file,rows,start,end,null_close_count,duplicate_timestamp_count,missing_bar_pct,exclude,reason
60m,UNG,C:\Users\marti\from\data\cache\yahoo\UNG_60m_730d.csv,12102,2023-07-24 08:00:00+00:00,2026-06-18 15:01:02+00:00,0,0,0.0,False,
60m,USO,C:\Users\marti\from\data\cache\yahoo\USO_60m_730d.csv,12092,2023-07-24 08:00:00+00:00,2026-06-18 15:01:49+00:00,0,0,0.0,False,
60m,CL=F,C:\Users\marti\from\data\cache\yahoo\CL_F_60m_730d.csv,13574,2024-01-25 05:00:00+00:00,2026-06-18 03:14:08+00:00,0,0,0.0,False,
60m,XLF,C:\Users\marti\from\data\cache\yahoo\XLF_60m_730d.csv,12086,2023-07-24 08:00:00+00:00,2026-06-18 15:01:56+00:00,0,0,0.0,False,
60m,XLV,C:\Users\marti\from\data\cache\yahoo\XLV_60m_730d.csv,11979,2023-07-24 08:00:00+00:00,2026-06-18 15:01:56+00:00,0,0,0.0,False,
60m,XLY,C:\Users\marti\from\data\cache\yahoo\XLY_60m_730d.csv,11473,2023-07-24 08:00:00+00:00,2026-06-18 15:02:06+00:00,0,0,0.0,False,
60m,XLK,C:\Users\marti\from\data\cache\yahoo\XLK_60m_730d.csv,12074,2023-07-24 08:00:00+00:00,2026-06-18 15:01:56+00:00,0,0,0.0,False,
60m,SI=F,C:\Users\marti\from\data\cache\yahoo\SI_F_60m_730d.csv,13791,2024-01-25 05:00:00+00:00,2026-06-18 03:13:44+00:00,0,0,0.0,False,
60m,TLT,C:\Users\marti\from\data\cache\yahoo\TLT_60m_730d.csv,12081,2023-07-21 08:00:00+00:00,2026-06-17 23:47:25+00:00,0,0,0.0,False,
60m,IEF,C:\Users\marti\from\data\cache\yahoo\IEF_60m_730d.csv,11125,2023-07-24 08:00:00+00:00,2026-06-18 15:01:33+00:00,0,0,0.0,False,
60m,ZB=F,C:\Users\marti\from\data\cache\yahoo\ZB_F_60m_730d.csv,13712,2024-01-25 05:00:00+00:00,2026-06-18 03:14:03+00:00,0,0,0.0,False,
60m,USDJPY=X,C:\Users\marti\from\data\cache\yahoo\USDJPY_X_60m_730d.csv,17135,2023-08-31 23:00:00+00:00,2026-06-18 15:02:27+00:00,0,0,0.0,False,
60m,DX-Y.NYB,C:\Users\marti\from\data\cache\yahoo\DX_Y_NYB_60m_730d.csv,14411,2024-01-25 05:00:00+00:00,2026-06-18 03:14:15+00:00,0,0,0.0,False,
60m,EURUSD=X,C:\Users\marti\from\data\cache\yahoo\EURUSD_X_60m_730d.csv,17221,2023-08-31 23:00:00+00:00,2026-06-18 03:23:48+00:00,0,0,0.0,False,
60m,BTC-USD,C:\Users\marti\from\data\cache\yahoo\BTC_USD_60m_730d.csv,17480,2024-06-19 00:00:00+00:00,2026-06-18 15:02:19+00:00,0,0,0.0,False,
60m,ETH-USD,C:\Users\marti\from\data\cache\yahoo\ETH_USD_60m_730d.csv,17477,2024-06-19 00:00:00+00:00,2026-06-18 15:02:23+00:00,0,0,0.0,False,
